Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek R1 14b Local","DeepSeek Chat","DeepSeek Reasoner"
"UnmatchedType","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP"
"UnmatchedTypeFixed","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"DeprecatedFunctions","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","FN","FN","FN","FN","TP","FN"
"DeprecatedFunctionsFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"MultipleInheritanceConstructorOrder","FN","FN","TP","TP","TP","TP","FN","FN","TP","FN","TP","TP","TP","TP","TP","TP","FN","FN"
"MultipleInheritanceConstructorOrderFixed","FP","TN","TN","FP","FP","FP","TN","FP","FP","TN","FP","FP","TN","FP","FP","FP","TN","FP"
"StringQuotesFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ChecksEffectsInteractionsTransfer","TP","FN","FN","FN","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN"
"FunctionOrder","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ChecksEffectsInteractionsSendFixed","FP","TN","TN","FP","FP","FP","FP","FP","FP","FP","FP","TN","TN","FP","FP","FP","FP","TN"
"StringQuotes","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"FunctionOrderFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ChecksEffectsInteractionsSend","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP"
"ChecksEffectsInteractionsTransferFixed","TN","TN","TN","FP","TN","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","TN","FP","TN"
"ShadowingParameterVariable","FN","TP","TP","TP","TP","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","TP"
"ShadowingStateConstructorParam","FN","FN","TP","FN","FN","FN","FN","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","TP"
"ShadowingStateParameterFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateParameter","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP"
"ShadowingStateConstructorParamFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingParameterVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ShadowingStateVariable","FN","FN","FN","TP","TP","TP","FN","FN","TP","TP","FN","TP","FN","TP","FN","FN","TP","TP"
"DeadCodeFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP"
"DeadCode","FN","FN","FN","FN","FN","TP","TP","TP","TP","TP","TP","FN","FN","TP","FN","FN","TP","FN"
"DeadCodeUselessAssignmentFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeadCodeUselessAssignment","FN","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP"
"UseOfAssemblyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"UseOfAssembly","FN","FN","TP","FN","FN","TP","TP","TP","FN","TP","TP","FN","FN","FN","TP","TP","TP","TP"
"ReasonStringRevert","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN"
"ERC20Indexed","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN"
"InadequateOrIncorrectLoggingOrDocumenationFixed","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"ReasonString","FN","FN","FN","FN","FN","TP","FN","FN","FN","TP","FN","TP","FN","TP","FN","FN","TP","TP"
"ReasonStringRevertFixed","TN","TN","FP","TN","TN","FP","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","FP","FP"
"ReasonStringFixed","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"InadequateOrIncorrectLoggingOrDocumenation","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ERC20IndexedFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN"
"AccidentalTypoFixed","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"AccidentalTypo","FN","FN","FN","TP","FN","FN","FN","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","TP"
