Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","14","1","10955.5","0"
"GPT Oss 20b API","0","3","18","31312.43","0"
"GPT Oss 20b Local","4","3","10","136322.06","0"
"Grok 4.1 fast non-reasoning","0","0","50","5748.87","0"
"Grok 4.1 fast reasoning","0","0","26","27586.56","0"
"Devstral","0","0","62","13238.31","0"
"Magistral Medium","0","1","54","9476.12","0"
"Magistral 24b API","0","4","33","3726.93","0"
"Devstral Small API","0","0","60","2836.5","0"
"Magistral 24b Local","0","0","52","51082.68","0"
"Devstral Small Local","0","0","62","62666.5","0"
"Qwen3 235b thinking","0","0","25","100747.12","0"
"Qwen3 30b thinking API","0","0","14","32196.93","0"
"Qwen3 235b instruct","0","0","57","9461.5","0"
"Qwen3 30b instruct API","0","0","40","6217.93","0"
"DeepSeek Chat","0","0","75","25485.5","0"
"DeepSeek Reasoner","0","0","41","97210.75","0"
"DeepSeek R1 14b Local","1","1","26","114080.25","0"
