Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"TimestampDependency","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"TimestampDependencyFixed","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP"
"TransactionOrderDependency","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","TP","TP","TP","FN","FN"
"TransactionOrderDependencyFixed","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"TransactionOrderDependencyHash","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","TP","FN"
"TransactionOrderDependencyHashFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN"
"BadRandomNumberGen","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"BadRandomNumberGenFixed","FP","TN","TN","FP","TN","FP","TN","TN","TN","TN","FP","TN","FP","FP","FP","FP","FP","FP"
"BlockVariableDependency","FN","TP","FN","TP","TP","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","TP"
"BlockVariableDependencyFixed","FP","TN","TN","FP","FP","FP","TN","TN","FP","TN","TN","TN","TN","FP","FP","FP","FP","FP"
"ImproperPrivateVariableSecret","FN","FN","FN","TP","TP","TP","TP","TP","TP","FN","FN","FN","FN","TP","TP","TP","FN","TP"
"ImproperPrivateVariableSecretFixed","FP","TN","TN","FP","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN"
"ImproperPrivateVariableSecretMinimal","TP","FN","FN","TP","TP","TP","TP","TP","TP","FN","TP","FN","FN","TP","TP","TP","TP","FN"
"ImproperPrivateVariableSecretMinimalFixed","FP","TN","TN","TN","TN","TN","FP","FP","FP","FP","TN","FP","TN","FP","FP","FP","TN","TN"
"UnpredictableStateDynamicLibraries","TP","FN","FN","TP","TP","FN","FN","TP","FN","TP","FN","TP","FN","TP","FN","TP","TP","FN"
"UnpredictableStateDynamicLibrariesFixed","TN","TN","TN","FP","FP","FP","TN","TN","TN","FP","FP","FP","FP","TN","FP","FP","FP","FP"
"BlockhashDependency","FN","FN","FN","TP","FN","TP","TP","FN","TP","TP","FN","TP","TP","TP","TP","TP","FN","FN"
"BlockhashDependencyFixed","TN","TN","TN","FP","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN"
