Model,TP,FP,TN,FN
"GPT Oss 120b",2,0,6,4
"GPT Oss 20b API",0,0,6,6
"GPT Oss 20b Local",0,0,6,6
"Grok 4.1 fast non-reasoning",1,0,6,5
"Grok 4.1 fast reasoning",0,0,6,6
"Devstral",0,0,6,6
"Magistral Medium",0,0,6,6
"Magistral 24b API",0,0,6,6
"Devstral Small API",0,0,6,6
"Magistral 24b Local",0,0,6,6
"Devstral Small Local",0,0,6,6
"Qwen3 235b thinking",0,0,6,6
"Qwen3 30b thinking API",0,0,6,6
"Qwen3 235b instruct",1,0,6,5
"Qwen3 30b instruct API",0,0,6,6
"DeepSeek R1 14b Local",0,0,6,6
"DeepSeek Chat",0,0,6,6
"DeepSeek Reasoner",0,0,6,6
