Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek R1 14b Local","DeepSeek Chat","DeepSeek Reasoner"
"BlockhashDependency","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","TP","FN","FN","FN"
"BlockhashDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperPrivateVariableSecret","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ImproperPrivateVariableSecretMinimal","TP","FN","FN","FN","TP","FN","FN","TP","FN","FN","TP","FN","FN","FN","FN","TP","FN","FN"
"ImproperPrivateVariableSecretFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperPrivateVariableSecretMinimalFixed","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN"
"TransactionOrderDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN"
"TransactionOrderDependencyHash","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"TransactionOrderDependency","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"TransactionOrderDependencyHashFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"BlockVariableDependencyFixed","FP","FP","TN","FP","FP","FP","TN","TN","TN","TN","FP","FP","TN","FP","FP","TN","FP","TN"
"BadRandomNumberGen","TP","FN","TP","FN","TP","TP","FN","FN","TP","FN","TP","FN","TP","TP","FN","FN","FN","TP"
"BadRandomNumberGenFixed","TN","FP","TN","FP","FP","TN","FP","TN","TN","TN","FP","FP","TN","FP","FP","FP","FP","FP"
"BlockVariableDependency","TP","FN","FN","TP","TP","TP","TP","FN","TP","FN","FN","TP","TP","TP","TP","TP","TP","TP"
"UnpredictableStateDynamicLibraries","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","TP","TP","FN","FN"
"UnpredictableStateDynamicLibrariesFixed","FP","TN","FP","FP","FP","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN","TN","FP"
"TimestampDependencyFixed","FP","FP","FP","FP","FP","TN","TN","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","TN"
"TimestampDependency","TP","FN","FN","TP","TP","TP","FN","TP","TP","TP","TP","FN","FN","TP","TP","TP","FN","TP"
