Defect Name,Expected Count,Actual Count
Erroneous Constructor Name,2,0
Reentrancy,96,93
Call To The Unknown,29,21
Exact Balance Dependency,13,4
Improper Data Validation,9,7
Vulnerable DELEGATECALL,10,10
Timestamp Dependency,11,11
Transaction-Ordering Dependency (TOD),7,6
Bad Random Number Generation,17,9
Improper Private Variable Secret,17,11
Unpredictable State (Dynamic Libraries),11,6
Block Hash Dependency,11,8
Unchecked Low Level Call or Send Return Values,50,34
Unexpected Throw Or Revert,36,3
Mishandled Out-Of-Gas Exception,4,1
Assert, Require Or Revert Violation,68,8
Frozen Ether,6,0
DoS With Block Gas Limit Reached,18,9
DoS By Exception Inside Loop,9,3
Insufficient Gas Griefing,8,5
Gas Costly Loops,9,7
Gas Costly Pattern,11,0
High Gas Consumption Of Variable Datatype Or Declaration,12,10
Under-Priced Opcodes,7,5
Authorization Via Transaction Origin,5,4
Unauthorized Accessibility Due To Wrong Function Or State Variable Visibility,18,18
Unprotected Self-Destruction,14,6
Unauthorized Ether Withdrawal,9,0
Signature-Based Vulnerabilities,21,18
Integer Over Or Underflow,6,6
Divide By Zero,60,58
Bugs And Arithmetic Issues,5,1
Type Cast,7,1
Coding Error,6,2
Function Ordering,14,8
Deprecated Source Language Features,5,2
Use Of Assembly,4,4
Incorrect Inheritance Order,12,10
Variable Shadowing,23,23
Dead Code,17,17
Inadequate Or Incorrect Logging Or Documentation,16,8
Outdated Compiler Version,6,6
Floating Or No Pragma,15,10
Hardcoded Gas,7,4
Violation Of Checks-Effects-Interaction Pattern,9,1
Short Address,4,1
Token API Violation,11,4
Call Stack Depth Limit,4,0
Ether Lost In Transfer,1,1
Single Quotes String,2,2
