Defect Name,Expected Count,Actual Count
Erroneous Constructor Name,2,1
Reentrancy,96,94
Call To The Unknown,29,1
Exact Balance Dependency,13,3
Improper Data Validation,9,6
Vulnerable DELEGATECALL,10,10
Timestamp Dependency,11,11
Transaction-Ordering Dependency (TOD),7,6
Bad Random Number Generation,17,11
Improper Private Variable Secret,17,17
Unpredictable State (Dynamic Libraries),11,8
Block Hash Dependency,11,8
Unchecked Low Level Call or Send Return Values,50,24
Unexpected Throw Or Revert,36,9
Mishandled Out-Of-Gas Exception,4,2
Assert, Require Or Revert Violation,68,16
Frozen Ether,6,0
DoS With Block Gas Limit Reached,18,14
DoS By Exception Inside Loop,9,4
Insufficient Gas Griefing,8,7
Gas Costly Loops,9,8
Gas Costly Pattern,11,0
High Gas Consumption Of Variable Datatype Or Declaration,12,6
Under-Priced Opcodes,7,3
Authorization Via Transaction Origin,5,5
Unauthorized Accessibility Due To Wrong Function Or State Variable Visibility,18,16
Unprotected Self-Destruction,14,7
Unauthorized Ether Withdrawal,9,0
Signature-Based Vulnerabilities,21,19
Integer Over Or Underflow,6,6
Divide By Zero,60,56
Bugs And Arithmetic Issues,5,2
Type Cast,7,3
Coding Error,6,3
Function Ordering,14,10
Deprecated Source Language Features,5,4
Use Of Assembly,4,4
Incorrect Inheritance Order,12,7
Variable Shadowing,23,20
Dead Code,17,17
Inadequate Or Incorrect Logging Or Documentation,16,6
Outdated Compiler Version,6,6
Floating Or No Pragma,15,11
Hardcoded Gas,7,7
Violation Of Checks-Effects-Interaction Pattern,9,2
Short Address,4,2
Token API Violation,11,1
Call Stack Depth Limit,4,1
Ether Lost In Transfer,1,1
Single Quotes String,2,2
