Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"CallReturnValueNotCheckedFixed","TN","FP","FP","TN","TN","FP","FP","TN","FP","TN","FP","TN","TN","FP","TN","TN","TN","FP"
"CallReturnValueNotCheckedHiddenFixed","TN","TN","FP","TN","TN","FP","FP","TN","FP","TN","FP","TN","TN","FP","FP","FP","TN","FP"
"CallReturnValueNotCheckedHidden","TP","TP","TP","FN","TP","TP","FN","FN","TP","TP","TP","FN","FN","TP","FN","TP","FN","TP"
"CallReturnValueNotChecked","FN","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","FN","TP","TP","TP"
"SendReturnValueNotCheckedFixed","TN","TN","TN","TN","TN","FP","TN","TN","FP","FP","TN","TN","TN","TN","TN","FP","TN","TN"
"SendReturnValueNotCheckedHiddenFixed","TN","TN","TN","TN","FP","FP","TN","TN","TN","FP","TN","TN","TN","FP","TN","FP","TN","TN"
"SendReturnValueNotCheckedHidden","FN","FN","FN","FN","FN","TP","FN","FN","TP","TP","TP","FN","FN","FN","FN","TP","FN","FN"
"SendReturnValueNotCheckedInconsistentFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"SendReturnValueNotCheckedInconsistent","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN"
"SendReturnValueNotChecked","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","FN"
"ValueNotCheckedFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"ValueNotChecked","FN","FN","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"MishandledOutOfGasExceptionFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"MishandledOutOfGasException","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
