Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek R1 14b Local","DeepSeek Chat","DeepSeek Reasoner"
"ValueNotChecked","FN","FN","TP","FN","TP","FN","FN","TP","TP","TP","TP","TP","FN","FN","FN","FN","TP","TP"
"CallReturnValueNotCheckedFixed","FP","TN","TN","TN","TN","FP","FP","FP","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN"
"CallReturnValueNotCheckedHidden","TP","FN","FN","FN","TP","TP","TP","FN","TP","TP","TP","FN","TP","FN","TP","FN","TP","FN"
"SendReturnValueNotCheckedInconsistent","FN","FN","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","FN","FN","TP","FN","TP","FN"
"CallReturnValueNotCheckedHiddenFixed","TN","TN","TN","TN","TN","FP","FP","FP","FP","FP","TN","TN","TN","TN","FP","FP","FP","TN"
"SendReturnValueNotCheckedFixed","TN","FP","TN","FP","FP","TN","FP","FP","FP","FP","FP","TN","TN","TN","TN","TN","FP","TN"
"ValueNotCheckedFixed","TN","TN","TN","FP","FP","TN","TN","FP","FP","FP","FP","TN","TN","FP","TN","TN","FP","TN"
"SendReturnValueNotCheckedInconsistentFixed","TN","TN","TN","FP","TN","TN","FP","FP","TN","FP","TN","TN","TN","TN","TN","TN","FP","TN"
"SendReturnValueNotChecked","TP","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP","FN","FN","TP","FN","FN","TP","TP"
"SendReturnValueNotCheckedHidden","TP","FN","FN","TP","TP","TP","TP","FN","TP","FN","FN","TP","FN","TP","FN","FN","TP","FN"
"SendReturnValueNotCheckedHiddenFixed","FP","TN","TN","FP","FP","FP","TN","FP","FP","FP","FP","TN","TN","FP","FP","TN","FP","TN"
"CallReturnValueNotChecked","TP","FN","TP","FN","TP","TP","TP","TP","FN","TP","FN","TP","FN","TP","TP","FN","TP","FN"
"MishandledOutOfGasException","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"MishandledOutOfGasExceptionFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
