Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.28","0.42","0.42","0","0.28","0.4","0.4","0.37","0.33","0.3","0","4"
"GPT Oss 20b API","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","0"
"GPT Oss 20b Local","0.85","0.14","0.85","0.71","0.5","0.85","0.85","0.85","0.85","0.85","0","5"
"Grok 4.1 fast non-reasoning","0.85","0.42","0.71","0.42","0.75","0.66","0.69","0.69","0.75","0.81","0","12"
"Grok 4.1 fast reasoning","0.85","0.28","0.78","0.57","0.66","0.75","0.78","0.76","0.8","0.83","0","9"
"Devstral","0.71","0.57","0.57","0.14","0.66","0.55","0.55","0.58","0.62","0.67","0","12"
"Magistral Medium","0.71","0.57","0.57","0","0.71","0.55","0.55","0.58","0.62","0.67","0","6"
"Magistral 24b API","0.71","0.42","0.64","0.28","0.6","0.62","0.63","0.64","0.66","0.69","0","6"
"Devstral Small API","0.85","0.71","0.57","0.14","0.83","0.54","0.49","0.58","0.66","0.76","0","9"
"Magistral 24b Local","0.57","0.57","0.5","0","0.57","0.5","0.49","0.51","0.53","0.55","0","7"
"Devstral Small Local","0.71","0.57","0.57","0","0.71","0.55","0.55","0.58","0.62","0.67","0","6"
"Qwen3 235b thinking","0.71","0","0.85","0.71","0","1","0.84","0.92","0.83","0.75","0","5"
"Qwen3 30b thinking API","0.71","0","0.85","0.57","0.33","1","0.84","0.92","0.83","0.75","0","2"
"Qwen3 235b instruct","0.71","0.14","0.78","0.57","0.33","0.83","0.78","0.8","0.76","0.73","0","6"
"Qwen3 30b instruct API","0.71","0.42","0.64","0.14","0.66","0.62","0.63","0.64","0.66","0.69","0","4"
"DeepSeek Chat","0.85","0.57","0.64","0.28","0.8","0.6","0.6","0.63","0.7","0.78","0","9"
"DeepSeek Reasoner","1","0.14","0.92","0.85","1","0.87","0.92","0.89","0.93","0.97","0","4"
"DeepSeek R1 14b Local","0.42","0.14","0.64","0.28","0.2","0.75","0.6","0.65","0.54","0.46","0","2"
