Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"ShortAddress","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ShortAddressFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"OutdatedCompilerVersion","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"OutdatedCompilerVersionFixed","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN"
"FloatingPragma","FN","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","FN","TP","TP","FN"
"FloatingPragmaFixed","FP","FP","TN","FP","TN","FP","FP","FP","FP","FP","FP","TN","TN","FP","TN","FP","TN","TN"
"NoPragma","FN","TP","TP","FN","FN","TP","TP","FN","TP","TP","TP","TP","FN","FN","FN","TP","TP","TP"
"NoPragmaFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ERC20ReturnTypeViolation","TP","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"ERC20ReturnTypeViolationFixed","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"HardcodedGasLimit","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"HardcodedGasLimitFixed","TN","TN","TN","TN","FP","FP","FP","FP","FP","FP","FP","TN","TN","FP","FP","FP","TN","FP"
