Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","5"
"GPT Oss 20b API","0","0","0.5","0","0","0","0","0","0","0","0","6"
"GPT Oss 20b Local","0","0","0.5","0","0","0","0","0","0","0","0","1"
"Grok 4.1 fast non-reasoning","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Grok 4.1 fast reasoning","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Devstral","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","6"
"Magistral Medium","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Magistral 24b API","0","0","0.5","0","0","0","0","0","0","0","0","1"
"Devstral Small API","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Magistral 24b Local","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Devstral Small Local","0","0","0.5","0","0","0","0","0","0","0","0","3"
"Qwen3 235b thinking","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","0"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Qwen3 235b instruct","0","0","0.5","0","0","0","0","0","0","0","0","5"
"Qwen3 30b instruct API","0","0","0.5","0","0","0","0","0","0","0","0","7"
"DeepSeek Chat","0","0","0.5","0","0","0","0","0","0","0","0","3"
"DeepSeek Reasoner","0","0","0.5","0","0","0","0","0","0","0","0","1"
"DeepSeek R1 14b Local","0","0","0.5","0","0","0","0","0","0","0","0","7"
