Defect Name,Expected Count,Actual Count
Erroneous Constructor Name,2,1
Reentrancy,96,80
Call To The Unknown,29,3
Exact Balance Dependency,13,3
Improper Data Validation,9,7
Vulnerable DELEGATECALL,10,8
Timestamp Dependency,11,11
Transaction-Ordering Dependency (TOD),7,5
Bad Random Number Generation,17,12
Improper Private Variable Secret,17,17
Unpredictable State (Dynamic Libraries),11,6
Block Hash Dependency,11,8
Unchecked Low Level Call or Send Return Values,50,21
Unexpected Throw Or Revert,36,2
Mishandled Out-Of-Gas Exception,4,2
Assert, Require Or Revert Violation,68,4
Frozen Ether,6,0
DoS With Block Gas Limit Reached,18,0
DoS By Exception Inside Loop,9,0
Insufficient Gas Griefing,8,4
Gas Costly Loops,9,9
Gas Costly Pattern,11,1
High Gas Consumption Of Variable Datatype Or Declaration,12,6
Under-Priced Opcodes,7,4
Authorization Via Transaction Origin,5,5
Unauthorized Accessibility Due To Wrong Function Or State Variable Visibility,18,16
Unprotected Self-Destruction,14,1
Unauthorized Ether Withdrawal,9,0
Signature-Based Vulnerabilities,21,18
Integer Over Or Underflow,6,6
Divide By Zero,60,58
Bugs And Arithmetic Issues,5,1
Type Cast,7,1
Coding Error,6,4
Function Ordering,14,8
Deprecated Source Language Features,5,1
Use Of Assembly,4,4
Incorrect Inheritance Order,12,9
Variable Shadowing,23,23
Dead Code,17,17
Inadequate Or Incorrect Logging Or Documentation,16,3
Outdated Compiler Version,6,5
Floating Or No Pragma,15,10
Hardcoded Gas,7,6
Violation Of Checks-Effects-Interaction Pattern,9,1
Short Address,4,2
Token API Violation,11,4
Call Stack Depth Limit,4,0
Ether Lost In Transfer,1,1
Single Quotes String,2,2
