Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","11","135","27139.55","0"
"GPT Oss 20b API","0","10","68","73978.52","0"
"GPT Oss 20b Local","2","9","63","86286.79","0"
"Grok 4.1 fast non-reasoning","0","0","132","4995.61","0"
"Grok 4.1 fast reasoning","0","0","160","33000.26","0"
"Devstral","0","0","180","8892.7","0"
"Magistral Medium","0","4","118","7249.85","0"
"Magistral 24b API","0","5","72","3738.08","0"
"Devstral Small API","0","8","105","4206.02","0"
"Magistral 24b Local","0","3","106","50924.82","0"
"Devstral Small Local","0","6","115","66800.75","6"
"Qwen3 235b thinking","0","0","72","74063.47","0"
"Qwen3 30b thinking API","0","1","42","24647.02","0"
"Qwen3 235b instruct","0","5","121","8602.76","0"
"Qwen3 30b instruct API","0","8","98","8099.7","0"
"DeepSeek R1 14b Local","0","0","54","64454.88","0"
"DeepSeek Chat","0","0","165","25657.38","0"
"DeepSeek Reasoner","0","0","117","83929.38","0"
