Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.1","0.1","0.5","0.5"
"GPT Oss 20b API","0.1","0.05","0.52","0.66"
"GPT Oss 20b Local","0.26","0.05","0.6","0.83"
"Grok 4.1 fast non-reasoning","0.31","0.15","0.57","0.66"
"Grok 4.1 fast reasoning","0.31","0.1","0.6","0.75"
"Devstral","0.47","0.31","0.57","0.6"
"Magistral Medium","0.21","0.15","0.52","0.57"
"Magistral 24b API","0.26","0.15","0.55","0.62"
"Devstral Small API","0.47","0.21","0.63","0.69"
"Magistral 24b Local","0.36","0.1","0.63","0.77"
"Devstral Small Local","0.52","0.21","0.65","0.71"
"Qwen3 235b thinking","0.31","0.15","0.57","0.66"
"Qwen3 30b thinking API","0.1","0","0.55","1"
"Qwen3 235b instruct","0.42","0.15","0.63","0.72"
"Qwen3 30b instruct API","0.31","0.15","0.57","0.66"
"DeepSeek R1 14b Local","0.26","0.1","0.57","0.71"
"DeepSeek Chat","0.52","0.26","0.63","0.66"
"DeepSeek Reasoner","0.52","0.15","0.68","0.76"
