Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek R1 14b Local","DeepSeek Chat","DeepSeek Reasoner"
"StrictBalanceEqualityRequireFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"StrictBalanceEqualityToken","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEquality","FN","FN","TP","TP","TP","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","FN","FN","FN"
"StrictBalanceEqualityRequire","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEqualityTokenFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP"
"StrictBalanceEqualityFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"VulnerableDelegateCALL","FN","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP"
"VulnerableDelegateCALLFixed","FP","TN","FP","FP","FP","FP","FP","TN","FP","TN","FP","FP","FP","FP","FP","FP","FP","FP"
"ReentrancyEffectUnderFunctionFixed","FP","TN","FP","FP","TN","FP","FP","TN","TN","TN","FP","FP","TN","TN","TN","FP","FP","TN"
"ReentrancyConditionalFixed","TN","TN","TN","FP","TN","FP","FP","TN","TN","FP","FP","FP","TN","TN","FP","FP","FP","TN"
"ReentrancySimpleGasLimitCallSend","FN","TP","TP","TP","TP","TP","TP","TP","TP","FN","FN","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleFixed","FP","TN","FP","FP","TN","FP","TN","TN","FP","FP","TN","FP","TN","TN","FP","FP","FP","FP"
"ReentrancySimpleLockModifier","TP","FN","FN","TP","TP","TP","FN","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP"
"ReentrancyConditional","FN","TP","FN","TP","TP","TP","FN","TP","FN","TP","FN","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleGasLimitCall","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","FN","TP","FN","TP","TP","TP"
"ReentrancySimpleLock","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"ReentrancySimpleLockFixed","TN","FP","TN","FP","FP","FP","FP","FP","TN","FP","FP","FP","TN","FP","FP","FP","FP","TN"
"DepositContract","TP","FN","FN","TP","TP","TP","TP","FN","TP","TP","TP","TP","FN","TP","TP","FN","TP","TP"
"ReentrancySimpleGasLimitCallFixed","FP","TN","TN","FP","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP","FP","TN","FP"
"ReentrancySimpleGasLimitCallSendFixed","TN","TN","TN","FP","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP","TN","FP","TN"
"ReentrancySimple","FN","TP","FN","TP","TP","TP","TP","FN","TP","FN","FN","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleGasLimitCallTransferFixed","FP","TN","TN","TN","FP","FP","FP","FP","FP","FP","FP","TN","TN","FP","FP","TN","FP","TN"
"ReentrancyEffectUnderFunction","FN","TP","FN","TP","TP","TP","TP","TP","TP","TP","FN","TP","FN","FN","TP","TP","TP","TP"
"ReentrancySimpleGasLimitCallTransfer","FN","TP","FN","TP","TP","TP","TP","TP","FN","TP","FN","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleLockModifierFixed","TN","TN","TN","FP","FP","FP","FP","FP","TN","FP","FP","FP","TN","FP","FP","FP","FP","FP"
"DepositContractFixed","FP","TN","TN","FP","FP","FP","FP","TN","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP"
"MissingZeroAddressValidation","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP"
"ImproperDataValidationFixed","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","FP","TN","TN","FP","FP","TN","TN","TN"
"MissingZeroAddressValidationFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperDataValidation","FN","FN","FN","FN","TP","TP","TP","TP","TP","FN","TP","FN","FN","FN","FN","FN","TP","FN"
"CallToUnknownFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN"
"CallToUnknownSimple","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","TP","FN","FN","FN"
"CallToUnknownSimpleFixed","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","FP"
"CallToUnknown","FN","FN","FN","TP","FN","TP","FN","TP","TP","FN","FN","FN","TP","TP","FN","FN","FN","FN"
