Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.41","0.52","0.44","0.05","0.37","0.43","0.44","0.43","0.42","0.41","0","34"
"GPT Oss 20b API","0.47","0.23","0.61","0.29","0.25","0.66","0.59","0.61","0.55","0.5","0","12"
"GPT Oss 20b Local","0.35","0.23","0.55","0.23","0.15","0.6","0.51","0.52","0.44","0.38","0","20"
"Grok 4.1 fast non-reasoning","0.76","0.47","0.64","0.41","0.6","0.61","0.63","0.64","0.68","0.73","0","34"
"Grok 4.1 fast reasoning","0.88","0.47","0.7","0.47","0.77","0.65","0.68","0.68","0.75","0.82","0","24"
"Devstral","0.76","0.76","0.5","0","0.76","0.5","0.42","0.53","0.6","0.69","0","39"
"Magistral Medium","0.76","0.47","0.64","0.29","0.66","0.61","0.63","0.64","0.68","0.73","0","23"
"Magistral 24b API","0.47","0.64","0.41","0.11","0.4","0.42","0.4","0.43","0.44","0.45","0","18"
"Devstral Small API","0.58","0.47","0.55","0.17","0.5","0.55","0.55","0.56","0.57","0.58","0","22"
"Magistral 24b Local","0.7","0.58","0.55","0.17","0.64","0.54","0.53","0.57","0.61","0.66","0","22"
"Devstral Small Local","0.58","0.58","0.5","0.05","0.56","0.5","0.49","0.51","0.54","0.56","0","23"
"Qwen3 235b thinking","0.94","0.41","0.76","0.52","0.87","0.69","0.74","0.73","0.8","0.87","0","14"
"Qwen3 30b thinking API","0.64","0.17","0.73","0.47","0.33","0.78","0.72","0.75","0.7","0.67","0","14"
"Qwen3 235b instruct","0.82","0.47","0.67","0.23","0.76","0.63","0.66","0.66","0.71","0.77","0","27"
"Qwen3 30b instruct API","0.82","0.64","0.58","0.11","0.8","0.56","0.53","0.59","0.66","0.75","0","22"
"DeepSeek Chat","0.88","0.76","0.55","0.11","0.86","0.53","0.45","0.58","0.66","0.78","0","37"
"DeepSeek Reasoner","0.82","0.41","0.7","0.41","0.7","0.66","0.69","0.69","0.73","0.78","0","21"
"DeepSeek R1 14b Local","0.58","0.35","0.61","0.17","0.5","0.62","0.61","0.61","0.6","0.59","0","18"
