Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.35","0.35","0.5","0.07","0.29","0.5","0.47","0.46","0.41","0.37","0","81"
"GPT Oss 20b API","0.21","0.12","0.54","0.13","0.09","0.63","0.43","0.45","0.32","0.24","0","20"
"GPT Oss 20b Local","0.36","0.14","0.6","0.25","0.15","0.71","0.55","0.59","0.48","0.4","0","45"
"Grok 4.1 fast non-reasoning","0.67","0.3","0.68","0.39","0.45","0.68","0.68","0.68","0.67","0.67","0","95"
"Grok 4.1 fast reasoning","0.68","0.23","0.72","0.46","0.4","0.74","0.72","0.72","0.71","0.69","0","84"
"Devstral","0.57","0.4","0.58","0.21","0.46","0.58","0.58","0.58","0.58","0.58","0","95"
"Magistral Medium","0.52","0.28","0.61","0.23","0.37","0.64","0.61","0.61","0.57","0.54","0","69"
"Magistral 24b API","0.4","0.25","0.57","0.19","0.26","0.62","0.55","0.56","0.49","0.43","0","54"
"Devstral Small API","0.55","0.38","0.58","0.21","0.43","0.59","0.58","0.58","0.57","0.56","0","71"
"Magistral 24b Local","0.52","0.34","0.59","0.2","0.4","0.6","0.58","0.58","0.56","0.53","0","66"
"Devstral Small Local","0.48","0.32","0.57","0.2","0.35","0.59","0.57","0.57","0.53","0.5","0","67"
"Qwen3 235b thinking","0.55","0.17","0.69","0.4","0.25","0.76","0.67","0.71","0.64","0.58","0","50"
"Qwen3 30b thinking API","0.43","0.14","0.64","0.31","0.16","0.74","0.6","0.65","0.54","0.47","0","33"
"Qwen3 235b instruct","0.62","0.37","0.62","0.3","0.45","0.62","0.62","0.62","0.62","0.62","0","81"
"Qwen3 30b instruct API","0.6","0.51","0.54","0.13","0.53","0.54","0.54","0.55","0.56","0.58","0","59"
"DeepSeek Chat","0.69","0.38","0.65","0.34","0.53","0.64","0.65","0.65","0.66","0.68","0","94"
"DeepSeek Reasoner","0.64","0.21","0.71","0.44","0.36","0.75","0.71","0.72","0.69","0.66","0","69"
"DeepSeek R1 14b Local","0.46","0.21","0.62","0.25","0.28","0.68","0.6","0.62","0.55","0.49","0","48"
