Defect Name,Expected Count,Actual Count
Erroneous Constructor Name,2,1
Reentrancy,96,95
Call To The Unknown,29,25
Exact Balance Dependency,13,2
Improper Data Validation,9,7
Vulnerable DELEGATECALL,10,10
Timestamp Dependency,11,11
Transaction-Ordering Dependency (TOD),7,6
Bad Random Number Generation,17,7
Improper Private Variable Secret,17,17
Unpredictable State (Dynamic Libraries),11,8
Block Hash Dependency,11,8
Unchecked Low Level Call or Send Return Values,50,37
Unexpected Throw Or Revert,36,7
Mishandled Out-Of-Gas Exception,4,1
Assert, Require Or Revert Violation,68,23
Frozen Ether,6,2
DoS With Block Gas Limit Reached,18,18
DoS By Exception Inside Loop,9,3
Insufficient Gas Griefing,8,6
Gas Costly Loops,9,9
Gas Costly Pattern,11,2
High Gas Consumption Of Variable Datatype Or Declaration,12,9
Under-Priced Opcodes,7,4
Authorization Via Transaction Origin,5,5
Unauthorized Accessibility Due To Wrong Function Or State Variable Visibility,18,17
Unprotected Self-Destruction,14,7
Unauthorized Ether Withdrawal,9,0
Signature-Based Vulnerabilities,21,19
Integer Over Or Underflow,6,6
Divide By Zero,60,59
Bugs And Arithmetic Issues,5,2
Type Cast,7,1
Coding Error,6,4
Function Ordering,14,12
Deprecated Source Language Features,5,3
Use Of Assembly,4,4
Incorrect Inheritance Order,12,10
Variable Shadowing,23,21
Dead Code,17,17
Inadequate Or Incorrect Logging Or Documentation,16,5
Outdated Compiler Version,6,6
Floating Or No Pragma,15,10
Hardcoded Gas,7,7
Violation Of Checks-Effects-Interaction Pattern,9,2
Short Address,4,2
Token API Violation,11,4
Call Stack Depth Limit,4,0
Ether Lost In Transfer,1,1
Single Quotes String,2,2
