Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0","0","0.5","0","0","0","0","0","0","0","0","0"
"GPT Oss 20b API","0","0.44","0.27","0","0","0","0","0","0","0","0","1"
"GPT Oss 20b Local","0.22","0.11","0.55","0.22","0","0.66","0.44","0.47","0.33","0.25","0","0"
"Grok 4.1 fast non-reasoning","0.22","0.22","0.5","0.22","0","0.5","0.41","0.4","0.3","0.24","0","6"
"Grok 4.1 fast reasoning","0.33","0.33","0.5","0.11","0.25","0.5","0.47","0.45","0.4","0.35","0","5"
"Devstral","0.11","0.22","0.44","0","0.11","0.33","0.29","0.23","0.16","0.12","0","3"
"Magistral Medium","0.22","0.22","0.5","0","0.22","0.5","0.41","0.4","0.3","0.24","0","4"
"Magistral 24b API","0.22","0.11","0.55","0","0.22","0.66","0.44","0.47","0.33","0.25","0","4"
"Devstral Small API","0.11","0.22","0.44","0","0.11","0.33","0.29","0.23","0.16","0.12","0","4"
"Magistral 24b Local","0.11","0.22","0.44","0","0.11","0.33","0.29","0.23","0.16","0.12","0","4"
"Devstral Small Local","0.11","0.44","0.33","0","0.11","0.2","0.24","0.17","0.14","0.12","0","4"
"Qwen3 235b thinking","0.22","0.22","0.5","0.11","0.12","0.5","0.41","0.4","0.3","0.24","0","2"
"Qwen3 30b thinking API","0.11","0","0.55","0.11","0","1","0.33","0.38","0.19","0.13","0","1"
"Qwen3 235b instruct","0.55","0.44","0.55","0.11","0.5","0.55","0.55","0.55","0.55","0.55","0","6"
"Qwen3 30b instruct API","0.11","0.33","0.38","0","0.11","0.25","0.27","0.2","0.15","0.12","0","7"
"DeepSeek Chat","0.33","0.22","0.55","0.11","0.25","0.6","0.5","0.51","0.42","0.36","0","4"
"DeepSeek Reasoner","0.33","0.44","0.44","0.11","0.25","0.42","0.43","0.4","0.37","0.34","0","1"
"DeepSeek R1 14b Local","0.22","0.22","0.5","0.11","0.12","0.5","0.41","0.4","0.3","0.24","0","2"
