Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.37","0.62","0.37","0.12","0.28","0.37","0.37","0.37","0.37","0.37","0","9"
"GPT Oss 20b API","0.25","0.25","0.5","0.12","0.14","0.5","0.43","0.41","0.33","0.27","0","1"
"GPT Oss 20b Local","0.25","0.37","0.43","0.12","0.14","0.4","0.39","0.35","0.3","0.27","0","2"
"Grok 4.1 fast non-reasoning","0.87","0.5","0.68","0.37","0.8","0.63","0.66","0.67","0.73","0.81","0","6"
"Grok 4.1 fast reasoning","0.87","0.37","0.75","0.5","0.75","0.7","0.73","0.72","0.77","0.83","0","6"
"Devstral","0.62","0.37","0.62","0.37","0.4","0.62","0.62","0.62","0.62","0.62","0","6"
"Magistral Medium","0.5","0.12","0.68","0.25","0.33","0.8","0.66","0.71","0.61","0.54","0","6"
"Magistral 24b API","0.37","0.12","0.62","0.37","0","0.75","0.57","0.62","0.5","0.41","0","5"
"Devstral Small API","0.62","0.5","0.56","0.12","0.57","0.55","0.55","0.56","0.58","0.6","0","6"
"Magistral 24b Local","0.37","0.12","0.62","0.25","0.16","0.75","0.57","0.62","0.5","0.41","0","4"
"Devstral Small Local","0.62","0.12","0.75","0.5","0.25","0.83","0.73","0.78","0.71","0.65","0","6"
"Qwen3 235b thinking","0.37","0.12","0.62","0.37","0","0.75","0.57","0.62","0.5","0.41","0","4"
"Qwen3 30b thinking API","0.37","0.25","0.56","0.25","0.16","0.6","0.53","0.53","0.46","0.4","0","4"
"Qwen3 235b instruct","0.62","0.5","0.56","0.37","0.4","0.55","0.55","0.56","0.58","0.6","0","6"
"Qwen3 30b instruct API","0.87","0.5","0.68","0.5","0.75","0.63","0.66","0.67","0.73","0.81","0","5"
"DeepSeek Chat","0.87","0.37","0.75","0.5","0.75","0.7","0.73","0.72","0.77","0.83","0","8"
"DeepSeek Reasoner","0.62","0.37","0.62","0.25","0.5","0.62","0.62","0.62","0.62","0.62","0","5"
"DeepSeek R1 14b Local","0.75","0.25","0.75","0.37","0.6","0.75","0.75","0.75","0.75","0.75","0","7"
