Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.28","0.42","0.42","0.4"
"GPT Oss 20b API","0.14","0","0.57","1"
"GPT Oss 20b Local","0.85","0.14","0.85","0.85"
"Grok 4.1 fast non-reasoning","0.85","0.42","0.71","0.66"
"Grok 4.1 fast reasoning","0.85","0.28","0.78","0.75"
"Devstral","0.71","0.57","0.57","0.55"
"Magistral Medium","0.71","0.57","0.57","0.55"
"Magistral 24b API","0.71","0.42","0.64","0.62"
"Devstral Small API","0.85","0.71","0.57","0.54"
"Magistral 24b Local","0.57","0.57","0.5","0.5"
"Devstral Small Local","0.71","0.57","0.57","0.55"
"Qwen3 235b thinking","0.71","0","0.85","1"
"Qwen3 30b thinking API","0.71","0","0.85","1"
"Qwen3 235b instruct","0.71","0.14","0.78","0.83"
"Qwen3 30b instruct API","0.71","0.42","0.64","0.62"
"DeepSeek Chat","0.85","0.57","0.64","0.6"
"DeepSeek Reasoner","1","0.14","0.92","0.87"
"DeepSeek R1 14b Local","0.42","0.14","0.64","0.75"
