Model,TP,FP,TN,FN
"GPT Oss 120b",5,2,6,3
"GPT Oss 20b API",2,1,7,6
"GPT Oss 20b Local",4,2,6,4
"Grok 4.1 fast non-reasoning",7,6,2,1
"Grok 4.1 fast reasoning",7,3,5,1
"Devstral",3,2,6,5
"Magistral Medium",4,1,7,4
"Magistral 24b API",1,1,7,7
"Devstral Small API",2,3,5,6
"Magistral 24b Local",2,1,7,6
"Devstral Small Local",2,1,7,6
"Qwen3 235b thinking",4,4,4,4
"Qwen3 30b thinking API",3,2,6,5
"Qwen3 235b instruct",5,4,4,3
"Qwen3 30b instruct API",5,5,3,3
"DeepSeek R1 14b Local",1,3,5,7
"DeepSeek Chat",5,6,2,3
"DeepSeek Reasoner",4,3,5,4
