Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.14","0","0.57","0","0.14","1","0.37","0.45","0.25","0.17","0","13"
"GPT Oss 20b API","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","6"
"GPT Oss 20b Local","0.14","0.14","0.5","0.14","0","0.5","0.34","0.33","0.22","0.16","0","7"
"Grok 4.1 fast non-reasoning","0.28","0.14","0.57","0.28","0","0.66","0.49","0.52","0.4","0.32","0","11"
"Grok 4.1 fast reasoning","0.28","0.14","0.57","0.14","0.16","0.66","0.49","0.52","0.4","0.32","0","7"
"Devstral","0.28","0","0.64","0.28","0","1","0.53","0.66","0.44","0.33","0","14"
"Magistral Medium","0","0.14","0.42","0","0","0","0","0","0","0","0","8"
"Magistral 24b API","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","11"
"Devstral Small API","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","16"
"Magistral 24b Local","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","16"
"Devstral Small Local","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","15"
"Qwen3 235b thinking","0.28","0","0.64","0.28","0","1","0.53","0.66","0.44","0.33","0","5"
"Qwen3 30b thinking API","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","3"
"Qwen3 235b instruct","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","18"
"Qwen3 30b instruct API","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","14"
"DeepSeek Chat","0.28","0.14","0.57","0.14","0.16","0.66","0.49","0.52","0.4","0.32","0","11"
"DeepSeek Reasoner","0.14","0.14","0.5","0.14","0","0.5","0.34","0.33","0.22","0.16","0","10"
"DeepSeek R1 14b Local","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","10"
