Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","11","0","9162.58","0"
"GPT Oss 20b API","0","2","18","18560.83","0"
"GPT Oss 20b Local","1","1","15","73302.08","0"
"Grok 4.1 fast non-reasoning","0","0","46","5556.5","0"
"Grok 4.1 fast reasoning","0","0","19","26930.66","0"
"Devstral","0","0","45","8710.33","0"
"Magistral Medium","0","5","19","4918.08","0"
"Magistral 24b API","0","1","20","2761.83","0"
"Devstral Small API","0","0","34","2206.83","0"
"Magistral 24b Local","0","0","36","47086.08","0"
"Devstral Small Local","0","0","36","55299.16","0"
"Qwen3 235b thinking","0","0","18","70544.83","0"
"Qwen3 30b thinking API","0","0","10","25279","0"
"Qwen3 235b instruct","0","0","41","8471.16","0"
"Qwen3 30b instruct API","0","0","26","4968.58","0"
"DeepSeek Chat","0","0","46","18195.33","0"
"DeepSeek Reasoner","0","0","29","88330.91","0"
"DeepSeek R1 14b Local","0","1","19","60972.25","0"
