Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","0","5","15218","0"
"GPT Oss 20b API","0","0","3","74233","0"
"GPT Oss 20b Local","0","0","16","162514","0"
"Grok 4.1 fast non-reasoning","0","0","20","6618.5","0"
"Grok 4.1 fast reasoning","0","0","12","29264.5","0"
"Devstral","0","0","20","27677.5","0"
"Magistral Medium","0","1","7","14903.5","0"
"Magistral 24b API","0","1","6","10358","0"
"Devstral Small API","0","0","15","4346","0"
"Magistral 24b Local","0","0","13","75588","0"
"Devstral Small Local","0","0","15","113266","0"
"Qwen3 235b thinking","0","0","9","124298","0"
"Qwen3 30b thinking API","0","0","7","41451","0"
"Qwen3 235b instruct","0","0","16","15779.5","0"
"Qwen3 30b instruct API","0","0","16","15334","0"
"DeepSeek Chat","0","0","18","55528.5","0"
"DeepSeek Reasoner","0","0","15","150154","0"
"DeepSeek R1 14b Local","0","0","6","89469","0"
