Defect Name,Expected Count,Actual Count
Erroneous Constructor Name,2,1
Reentrancy,96,94
Call To The Unknown,29,6
Exact Balance Dependency,13,12
Improper Data Validation,9,5
Vulnerable DELEGATECALL,10,10
Timestamp Dependency,11,11
Transaction-Ordering Dependency (TOD),7,5
Bad Random Number Generation,17,10
Improper Private Variable Secret,17,13
Unpredictable State (Dynamic Libraries),11,7
Block Hash Dependency,11,8
Unchecked Low Level Call or Send Return Values,50,38
Unexpected Throw Or Revert,36,8
Mishandled Out-Of-Gas Exception,4,2
Assert, Require Or Revert Violation,68,18
Frozen Ether,6,0
DoS With Block Gas Limit Reached,18,15
DoS By Exception Inside Loop,9,5
Insufficient Gas Griefing,8,6
Gas Costly Loops,9,9
Gas Costly Pattern,11,8
High Gas Consumption Of Variable Datatype Or Declaration,12,9
Under-Priced Opcodes,7,4
Authorization Via Transaction Origin,5,5
Unauthorized Accessibility Due To Wrong Function Or State Variable Visibility,18,15
Unprotected Self-Destruction,14,7
Unauthorized Ether Withdrawal,9,4
Signature-Based Vulnerabilities,21,20
Integer Over Or Underflow,6,6
Divide By Zero,60,60
Bugs And Arithmetic Issues,5,0
Type Cast,7,1
Coding Error,6,3
Function Ordering,14,11
Deprecated Source Language Features,5,4
Use Of Assembly,4,4
Incorrect Inheritance Order,12,10
Variable Shadowing,23,21
Dead Code,17,15
Inadequate Or Incorrect Logging Or Documentation,16,5
Outdated Compiler Version,6,6
Floating Or No Pragma,15,13
Hardcoded Gas,7,7
Violation Of Checks-Effects-Interaction Pattern,9,2
Short Address,4,1
Token API Violation,11,7
Call Stack Depth Limit,4,0
Ether Lost In Transfer,1,0
Single Quotes String,2,2
