Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.5","0.16","0.66","0.75"
"GPT Oss 20b API","0.33","0.33","0.5","0.5"
"GPT Oss 20b Local","0.5","0","0.75","1"
"Grok 4.1 fast non-reasoning","0.5","0.16","0.66","0.75"
"Grok 4.1 fast reasoning","0.66","0.16","0.75","0.8"
"Devstral","0.66","0.5","0.58","0.57"
"Magistral Medium","0.66","0.33","0.66","0.66"
"Magistral 24b API","0.33","0.33","0.5","0.5"
"Devstral Small API","0.66","0.33","0.66","0.66"
"Magistral 24b Local","0.66","0.33","0.66","0.66"
"Devstral Small Local","0.66","0.33","0.66","0.66"
"Qwen3 235b thinking","0.66","0","0.83","1"
"Qwen3 30b thinking API","0.33","0","0.66","1"
"Qwen3 235b instruct","0.5","0.5","0.5","0.5"
"Qwen3 30b instruct API","0.33","0.33","0.5","0.5"
"DeepSeek Chat","0.66","0.33","0.66","0.66"
"DeepSeek Reasoner","0.66","0","0.83","1"
"DeepSeek R1 14b Local","0.5","0.16","0.66","0.75"
