Defect Name,Expected Count,Actual Count
Erroneous Constructor Name,2,1
Reentrancy,96,95
Call To The Unknown,29,4
Exact Balance Dependency,13,6
Improper Data Validation,9,7
Vulnerable DELEGATECALL,10,10
Timestamp Dependency,11,11
Transaction-Ordering Dependency (TOD),7,7
Bad Random Number Generation,17,13
Improper Private Variable Secret,17,11
Unpredictable State (Dynamic Libraries),11,8
Block Hash Dependency,11,7
Unchecked Low Level Call or Send Return Values,50,41
Unexpected Throw Or Revert,36,7
Mishandled Out-Of-Gas Exception,4,1
Assert, Require Or Revert Violation,68,13
Frozen Ether,6,0
DoS With Block Gas Limit Reached,18,14
DoS By Exception Inside Loop,9,4
Insufficient Gas Griefing,8,6
Gas Costly Loops,9,9
Gas Costly Pattern,11,0
High Gas Consumption Of Variable Datatype Or Declaration,12,8
Under-Priced Opcodes,7,4
Authorization Via Transaction Origin,5,5
Unauthorized Accessibility Due To Wrong Function Or State Variable Visibility,18,18
Unprotected Self-Destruction,14,7
Unauthorized Ether Withdrawal,9,2
Signature-Based Vulnerabilities,21,18
Integer Over Or Underflow,6,6
Divide By Zero,60,60
Bugs And Arithmetic Issues,5,0
Type Cast,7,2
Coding Error,6,5
Function Ordering,14,3
Deprecated Source Language Features,5,4
Use Of Assembly,4,4
Incorrect Inheritance Order,12,7
Variable Shadowing,23,23
Dead Code,17,17
Inadequate Or Incorrect Logging Or Documentation,16,5
Outdated Compiler Version,6,6
Floating Or No Pragma,15,12
Hardcoded Gas,7,7
Violation Of Checks-Effects-Interaction Pattern,9,1
Short Address,4,2
Token API Violation,11,5
Call Stack Depth Limit,4,0
Ether Lost In Transfer,1,0
Single Quotes String,2,2
