Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.29","0.35","0.47","0.45"
"GPT Oss 20b API","0.52","0.29","0.61","0.64"
"GPT Oss 20b Local","0.47","0.17","0.64","0.72"
"Grok 4.1 fast non-reasoning","0.58","0.58","0.5","0.5"
"Grok 4.1 fast reasoning","0.64","0.29","0.67","0.68"
"Devstral","0.64","0.52","0.55","0.55"
"Magistral Medium","0.64","0.41","0.61","0.61"
"Magistral 24b API","0.64","0.52","0.55","0.55"
"Devstral Small API","0.52","0.35","0.58","0.6"
"Magistral 24b Local","0.41","0.23","0.58","0.63"
"Devstral Small Local","0.52","0.58","0.47","0.47"
"Qwen3 235b thinking","0.64","0.23","0.7","0.73"
"Qwen3 30b thinking API","0.52","0","0.76","1"
"Qwen3 235b instruct","0.58","0.58","0.5","0.5"
"Qwen3 30b instruct API","0.47","0.35","0.55","0.57"
"DeepSeek Chat","0.64","0.58","0.52","0.52"
"DeepSeek Reasoner","0.64","0.47","0.58","0.57"
"DeepSeek R1 14b Local","0.58","0.35","0.61","0.62"
