Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.5","0.16","0.66","0.16","0.4","0.75","0.64","0.68","0.6","0.53","0","7"
"GPT Oss 20b API","0.33","0.33","0.5","0.33","0","0.5","0.47","0.45","0.4","0.35","0","1"
"GPT Oss 20b Local","0.5","0","0.75","0.5","0","1","0.7","0.83","0.66","0.55","0","1"
"Grok 4.1 fast non-reasoning","0.5","0.16","0.66","0.33","0.25","0.75","0.64","0.68","0.6","0.53","0","8"
"Grok 4.1 fast reasoning","0.66","0.16","0.75","0.5","0.33","0.8","0.74","0.76","0.72","0.68","0","7"
"Devstral","0.66","0.5","0.58","0.16","0.6","0.57","0.57","0.58","0.61","0.64","0","7"
"Magistral Medium","0.66","0.33","0.66","0.33","0.5","0.66","0.66","0.66","0.66","0.66","0","8"
"Magistral 24b API","0.33","0.33","0.5","0","0.33","0.5","0.47","0.45","0.4","0.35","0","5"
"Devstral Small API","0.66","0.33","0.66","0.33","0.5","0.66","0.66","0.66","0.66","0.66","0","5"
"Magistral 24b Local","0.66","0.33","0.66","0.33","0.5","0.66","0.66","0.66","0.66","0.66","0","7"
"Devstral Small Local","0.66","0.33","0.66","0.33","0.5","0.66","0.66","0.66","0.66","0.66","0","5"
"Qwen3 235b thinking","0.66","0","0.83","0.66","0","1","0.81","0.9","0.8","0.71","0","5"
"Qwen3 30b thinking API","0.33","0","0.66","0.33","0","1","0.57","0.71","0.5","0.38","0","2"
"Qwen3 235b instruct","0.5","0.5","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","0","10"
"Qwen3 30b instruct API","0.33","0.33","0.5","0","0.33","0.5","0.47","0.45","0.4","0.35","0","6"
"DeepSeek Chat","0.66","0.33","0.66","0.33","0.5","0.66","0.66","0.66","0.66","0.66","0","8"
"DeepSeek Reasoner","0.66","0","0.83","0.66","0","1","0.81","0.9","0.8","0.71","0","3"
"DeepSeek R1 14b Local","0.5","0.16","0.66","0.33","0.25","0.75","0.64","0.68","0.6","0.53","0","3"
