Model,TP,FP,TN,FN
"GPT Oss 120b",1,0,8,7
"GPT Oss 20b API",0,0,8,8
"GPT Oss 20b Local",0,0,8,8
"Grok 4.1 fast non-reasoning",1,0,8,7
"Grok 4.1 fast reasoning",1,0,8,7
"Devstral",1,0,8,7
"Magistral Medium",1,0,8,7
"Magistral 24b API",1,1,7,7
"Devstral Small API",1,1,7,7
"Magistral 24b Local",1,1,7,7
"Devstral Small Local",1,1,7,7
"Qwen3 235b thinking",0,0,8,8
"Qwen3 30b thinking API",0,0,8,8
"Qwen3 235b instruct",1,0,8,7
"Qwen3 30b instruct API",1,1,7,7
"DeepSeek Chat",1,0,8,7
"DeepSeek Reasoner",0,0,8,8
"DeepSeek R1 14b Local",1,0,8,7
