Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.44","0.66","0.38","0.4"
"GPT Oss 20b API","0.22","0.11","0.55","0.66"
"GPT Oss 20b Local","0.22","0.11","0.55","0.66"
"Grok 4.1 fast non-reasoning","0.88","0.66","0.61","0.57"
"Grok 4.1 fast reasoning","0.66","0.33","0.66","0.66"
"Devstral","0.55","0.55","0.5","0.5"
"Magistral Medium","0.55","0.22","0.66","0.71"
"Magistral 24b API","0.55","0.33","0.61","0.62"
"Devstral Small API","0.66","0.33","0.66","0.66"
"Magistral 24b Local","0.44","0.33","0.55","0.57"
"Devstral Small Local","0.33","0.33","0.5","0.5"
"Qwen3 235b thinking","0.55","0.33","0.61","0.62"
"Qwen3 30b thinking API","0.33","0.33","0.5","0.5"
"Qwen3 235b instruct","0.77","0.55","0.61","0.58"
"Qwen3 30b instruct API","0.77","0.88","0.44","0.46"
"DeepSeek Chat","0.88","0.66","0.61","0.57"
"DeepSeek Reasoner","0.66","0.44","0.61","0.6"
"DeepSeek R1 14b Local","0.44","0.44","0.5","0.5"
