Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","2","153","27966.44","0"
"GPT Oss 20b API","0","4","60","25546.05","0"
"GPT Oss 20b Local","6","2","44","167970.55","0"
"Grok 4.1 fast non-reasoning","0","0","131","9092.77","0"
"Grok 4.1 fast reasoning","0","0","139","42260.61","0"
"Devstral","0","0","116","9463.5","0"
"Magistral Medium","0","3","76","7985.77","0"
"Magistral 24b API","0","4","73","8568.33","0"
"Devstral Small API","0","0","99","3444.44","0"
"Magistral 24b Local","0","0","93","69244.83","0"
"Devstral Small Local","0","0","105","87534.27","0"
"Qwen3 235b thinking","0","0","68","100008.38","0"
"Qwen3 30b thinking API","0","1","41","31142.27","0"
"Qwen3 235b instruct","0","0","113","12222.27","0"
"Qwen3 30b instruct API","0","0","88","10375.27","0"
"DeepSeek R1 14b Local","0","0","52","80118.22","0"
"DeepSeek Chat","0","0","124","36672.55","0"
"DeepSeek Reasoner","0","0","78","98845.66","0"
