Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.26","0","0.63","0.21","0.06","1","0.51","0.64","0.41","0.3","0","15"
"GPT Oss 20b API","0.15","0","0.57","0.15","0","1","0.39","0.48","0.27","0.18","0","13"
"GPT Oss 20b Local","0.05","0","0.52","0.05","0","1","0.22","0.21","0.1","0.06","0","6"
"Grok 4.1 fast non-reasoning","0.31","0.15","0.57","0.15","0.18","0.66","0.51","0.54","0.42","0.35","0","18"
"Grok 4.1 fast reasoning","0.15","0","0.57","0.15","0","1","0.39","0.48","0.27","0.18","0","9"
"Devstral","0.36","0.05","0.65","0.31","0.07","0.87","0.59","0.68","0.51","0.41","0","24"
"Magistral Medium","0.21","0","0.6","0.21","0","1","0.45","0.57","0.34","0.25","0","20"
"Magistral 24b API","0.26","0.05","0.6","0.21","0.06","0.83","0.49","0.58","0.39","0.3","0","20"
"Devstral Small API","0.36","0.1","0.63","0.21","0.2","0.77","0.57","0.63","0.5","0.41","0","26"
"Magistral 24b Local","0.36","0.1","0.63","0.26","0.14","0.77","0.57","0.63","0.5","0.41","0","25"
"Devstral Small Local","0.36","0.1","0.63","0.21","0.2","0.77","0.57","0.63","0.5","0.41","0","23"
"Qwen3 235b thinking","0.15","0.05","0.55","0.15","0","0.75","0.38","0.42","0.26","0.18","0","7"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","4"
"Qwen3 235b instruct","0.26","0","0.63","0.26","0","1","0.51","0.64","0.41","0.3","0","29"
"Qwen3 30b instruct API","0.26","0","0.63","0.26","0","1","0.51","0.64","0.41","0.3","0","26"
"DeepSeek Chat","0.26","0.1","0.57","0.15","0.12","0.71","0.48","0.53","0.38","0.3","0","12"
"DeepSeek Reasoner","0.42","0.05","0.68","0.36","0.08","0.88","0.63","0.72","0.57","0.47","0","15"
"DeepSeek R1 14b Local","0.31","0.05","0.63","0.26","0.07","0.85","0.54","0.63","0.46","0.36","0","29"
