Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","1","1","0.5","0","1","0.5","0","0.55","0.66","0.83","0","1"
"GPT Oss 20b API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"GPT Oss 20b Local","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Grok 4.1 fast non-reasoning","1","0","1","1","0","1","1","1","1","1","0","0"
"Grok 4.1 fast reasoning","0","1","0","0","0","0","0","0","0","0","0","0"
"Devstral","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Magistral Medium","1","1","0.5","0","1","0.5","0","0.55","0.66","0.83","0","0"
"Magistral 24b API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Devstral Small API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Magistral 24b Local","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Devstral Small Local","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Qwen3 235b thinking","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Qwen3 30b thinking API","1","1","0.5","0","1","0.5","0","0.55","0.66","0.83","0","0"
"Qwen3 235b instruct","1","1","0.5","0","1","0.5","0","0.55","0.66","0.83","0","0"
"Qwen3 30b instruct API","1","1","0.5","0","1","0.5","0","0.55","0.66","0.83","0","0"
"DeepSeek Chat","1","0","1","1","0","1","1","1","1","1","0","1"
"DeepSeek Reasoner","1","0","1","1","0","1","1","1","1","1","0","1"
"DeepSeek R1 14b Local","1","0","1","1","0","1","1","1","1","1","0","0"
