Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0","0","0.5","0"
"GPT Oss 20b API","0","0","0.5","0"
"GPT Oss 20b Local","0","0","0.5","0"
"Grok 4.1 fast non-reasoning","0","0","0.5","0"
"Grok 4.1 fast reasoning","0","0","0.5","0"
"Devstral","0","0","0.5","0"
"Magistral Medium","0.12","0","0.56","1"
"Magistral 24b API","0","0","0.5","0"
"Devstral Small API","0.12","0","0.56","1"
"Magistral 24b Local","0.12","0","0.56","1"
"Devstral Small Local","0","0.12","0.43","0"
"Qwen3 235b thinking","0","0","0.5","0"
"Qwen3 30b thinking API","0","0","0.5","0"
"Qwen3 235b instruct","0.12","0.12","0.5","0.5"
"Qwen3 30b instruct API","0.12","0","0.56","1"
"DeepSeek Chat","0.12","0","0.56","1"
"DeepSeek Reasoner","0.12","0","0.56","1"
"DeepSeek R1 14b Local","0","0","0.5","0"
